Year,Loan Number,FHLBankID,Program,FIPSStateCode,FIPSCountyCode,MSA,FeatureID,Tract,MinPer,TraMedY,LocMedY,Tractrat,Income,CurAreY,IncRat,UPB,LTV,MortDate,AcquDate,Purpose,Coop,Product,FedGuar,Term,AmorTerm,FHFBID,Seller,SellCity,SellSt,SellType,NumBor,First,CICA,BoRace,CoRace,BoGender,CoGender,BoAge,CoAge,Occup,NumUnits,Bed1,Bed2,Bed3,Bed4,Aff1,Aff2,Aff3,Aff4,Rent1,Rent2,Rent3,Rent4,RentUt1,RentUt2,RentUt3,RentUt4,Geog,Rate,Amount,Front,Back,Borrower Credit Score,CoBorrower Credit Score,PMI,Self,PropType,ArmIndex,ArmMarg,PrepayP,BoEth,Race2,Race3,Race4,Race5,CoEth,Corace2,Corace3,Corace4,Corace5,HOEPA,LienStatus,SpcHsgGoals,FedFinStbltyPlan,AcqTyp,GSEREO
2014,1,Boston,01,04,013,38060,0000005032,4226.06,20.5,105615,64408,1.6398,355860,66400,5.3593,400000,0.8,2014,2014,2,2,1,0,360,360,54835,General Electric Employe,Milford,CT,1,2,2,9,5,5,1,2,49,46,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0438,400000,0.0813,0.1395,3,3,0.3,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,1,2,1,2
2014,2,Boston,01,09,001,14860,0000205720,0725.00,51.97,84866,100593,0.8437,60518,106700,0.5672,156000,0.7,2014,2014,2,2,1,0,360,360,54835,General Electric Employe,Milford,CT,1,2,2,9,5,5,1,2,59,55,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0475,156000,0.2825,0.4032,4,4,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,1,2,1,2
2014,3,Boston,01,09,001,14860,0000211578,0907.00,13.07,142583,100593,1.4174,191916,106700,1.7987,587700,0.9,2014,2014,1,2,1,0,360,360,54835,General Electric Employe,Milford,CT,1,2,2,9,5,5,1,2,37,39,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0475,587700,0.2847,0.3728,5,4,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2014,4,Boston,01,09,001,14860,0000211129,0217.00,56.04,85368,100593,0.8486,119053,106700,1.1158,140000,0.8,2014,2014,1,2,1,0,360,360,54835,General Electric Employe,Milford,CT,1,2,2,9,2,2,1,2,23,24,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0425,140000,0.1355,0.4283,4,4,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2014,5,Boston,01,09,001,14860,0000211129,0203.00,15.17,198793,100593,1.9762,219996,106700,2.0618,400000,0.54,2014,2014,2,2,1,0,180,180,07711,First County Bank,Stamford,CT,1,2,2,9,2,5,1,2,58,59,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0313,400000,0.223,0.4016,4,5,0.3,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2014,6,Boston,01,09,001,14860,0000211578,0904.00,23.23,98910,100593,0.9833,124500,106700,1.1668,265525,0.95,2014,2014,1,2,1,0,360,360,07711,First County Bank,Stamford,CT,1,2,1,9,5,5,2,1,25,27,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0425,265525,0.2023,0.3079,5,5,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2014,7,Boston,01,09,001,14860,0000212512,1001.00,9.87,114261,100593,1.1359,136222,106700,1.2767,343200,0.8,2014,2014,1,2,1,0,360,360,54835,General Electric Employe,Milford,CT,1,2,2,9,5,5,1,2,39,38,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0475,343200,0.2395,0.2395,5,5,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2014,8,Boston,01,09,001,14860,0000212175,0454.00,9.93,145781,100593,1.4492,201804,106700,1.8913,416000,0.62,2014,2014,2,2,1,0,180,180,07711,First County Bank,Stamford,CT,1,2,2,9,5,5,1,2,43,45,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.03,416000,0.2259,0.2515,5,5,0.12,1,PT07,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2014,9,Boston,01,09,001,14860,0000210800,1103.02,16.37,119531,100593,1.1883,147512,106700,1.3825,427500,0.9,2014,2014,1,2,1,0,360,360,54835,General Electric Employe,Milford,CT,1,2,2,9,5,5,2,1,38,71,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0425,427500,0.2589,0.3623,5,5,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2014,10,Boston,01,09,001,14860,0000209405,0432.00,52.18,66111,100593,0.6572,644280,106700,6.0382,380000,0.57,2014,2014,2,2,1,0,360,360,54835,General Electric Employe,Milford,CT,1,1,2,9,5,8,1,4,69,98,2,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0475,380000,0.0361,0.1103,3,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2014,11,Boston,01,09,001,14860,0000206996,0614.00,33.52,101328,100593,1.0073,69000,106700,0.6467,345000,0.55,2014,2014,2,2,1,0,360,360,54835,General Electric Employe,Milford,CT,1,1,2,9,5,8,1,4,57,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0475,345000,0.4094,0.4122,3,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2014,12,Boston,01,09,001,14860,0000209405,0442.00,50.88,79471,100593,0.79,80196,106700,0.7516,305000,0.59,2014,2014,2,2,1,0,360,360,54835,General Electric Employe,Milford,CT,1,1,2,9,5,8,1,4,59,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0475,305000,0.44,0.44,4,9,0.25,2,PT06,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2014,13,Boston,01,09,001,14860,0000211578,0901.00,11.07,144417,100593,1.4357,237420,106700,2.2251,601450,0.61,2014,2014,1,2,1,0,360,360,54835,General Electric Employe,Milford,CT,1,1,2,9,5,8,1,4,40,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0438,601450,0.2877,0.4002,4,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2014,14,Boston,01,09,001,14860,0000209405,0428.00,29.74,101250,100593,1.0065,159489,106700,1.4947,440100,0.9,2014,2014,1,2,1,0,360,360,54835,General Electric Employe,Milford,CT,1,1,2,9,5,8,2,4,40,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0475,440100,0.2569,0.3182,4,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2014,15,Boston,01,09,001,14860,0000211129,0210.00,28.18,95969,100593,0.954,69432,106700,0.6507,252000,0.7,2014,2014,1,2,1,0,360,360,07711,First County Bank,Stamford,CT,1,1,1,9,5,8,2,4,33,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.04,252000,0.3151,0.3656,4,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2014,16,Boston,01,09,001,14860,0000205720,0710.00,92.96,39191,100593,0.3896,55608,106700,0.5212,100000,0.72,2014,2014,2,2,1,0,180,180,54835,General Electric Employe,Milford,CT,1,1,2,9,5,8,2,4,59,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0375,100000,0.3712,0.408,4,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
