BAD,MORTDUE,VALUE,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,PD_model,LGD,EAD,K,RWA_IRB,Capital_IRB,Capital_check
1,25860.0,39025.0,Other,10.5,0.0,0.0,94.36666667,1.0,9.0,,0.21890293157970667,0.4,25860.0,0.18284301806677639,59104.00559008547,4728.320447206838,4728.320447206837
1,70053.0,68400.0,Other,7.0,0.0,2.0,121.8333333,0.0,14.0,,0.4796546685308544,0.4,70053.0,0.1653511458801176,144791.79777924847,11583.343822339879,11583.343822339877
1,13500.0,16700.0,Other,4.0,0.0,0.0,149.4666667,1.0,10.0,,0.17134244253319192,0.4,13500.0,0.17387081708305419,29340.700382765397,2347.2560306212317,2347.2560306212317
1,,,,,,,,,,,0.12287613667008887,0.4,0.0,0.1570986157876793,0.0,0.0,0.0
0,97800.0,112000.0,Office,3.0,0.0,0.0,93.33333333,0.0,14.0,,0.1012591942487649,0.4,97800.0,0.1460863376792508,178590.54781288412,14287.24382503073,14287.24382503073
1,30548.0,40320.0,Other,9.0,0.0,0.0,101.4660019,1.0,8.0,37.11361356,0.2446382694844481,0.4,30548.0,0.18542877821736742,70805.97896230174,5664.478316984139,5664.47831698414
1,48649.0,57037.0,Other,5.0,3.0,2.0,77.1,1.0,17.0,,0.8829355109286205,0.4,48649.0,0.04489882330744921,27303.53568855121,2184.282855084097,2184.282855084097
1,28502.0,43034.0,Other,11.0,0.0,0.0,88.76602988,0.0,8.0,36.88489409,0.22896573314720414,0.4,28502.0,0.18402053891379638,65561.9175015128,5244.953400121024,5244.953400121024
1,32700.0,46740.0,Other,3.0,0.0,2.0,216.9333333,1.0,12.0,,0.39224972807638275,0.4,32700.0,0.1797877153328244,73488.22864229197,5879.058291383358,5879.058291383358
1,,62250.0,Sales,16.0,0.0,0.0,115.8,0.0,13.0,,0.36092996880748995,0.4,0.0,0.18327943497575114,0.0,0.0,0.0
1,22608.0,,,18.0,,,,,,,0.11497790264128889,0.4,22608.0,0.15338038735757242,43345.29746724997,3467.6237973799975,3467.6237973799975
1,20627.0,29800.0,Office,11.0,0.0,1.0,122.5333333,1.0,9.0,,0.20170398330580155,0.4,20627.0,0.18028840011825423,46485.11036549038,3718.8088292392304,3718.80882923923
1,45000.0,55000.0,Other,3.0,0.0,0.0,86.06666667,2.0,25.0,,0.19691078519270258,0.4,45000.0,0.1794456142335928,100938.15800639594,8075.052640511675,8075.052640511675
0,64536.0,87400.0,Mgr,2.5,0.0,0.0,147.1333333,0.0,24.0,,0.11442785500012524,0.4,64536.0,0.15310902013582373,123513.046543569,9881.04372348552,9881.04372348552
1,71000.0,83850.0,Other,8.0,0.0,1.0,123.0,0.0,16.0,,0.2831203531840197,0.4,71000.0,0.1869442617395709,165913.03229386918,13273.042583509536,13273.042583509534
1,24280.0,34687.0,Other,,0.0,1.0,300.8666667,0.0,8.0,,0.14303485208710326,0.4,24280.0,0.16522285947018278,50145.13784920047,4011.6110279360378,4011.6110279360378
